,method,step,range,host,mean,std
1046,CF4,1e-09,"(0.1,0.3)",host#fe823726,-7.979727989493313e-17,0.07334269589500671
5,CF4,1e-08,"(0.1,0.15)",host#053336e2,-8.604228440844963e-17,0.074295278717025
125,CF4,1e-08,"(0.1,0.15)",host#2a9a8c7d,1.530026105811544e-16,0.04422455997530569
245,CF4,1e-08,"(0.1,0.15)",host#2ea82f5c,-8.049116928532385e-17,0.09399561009374424
365,CF4,1e-08,"(0.1,0.15)",host#b1a00ec8,7.771561172376095e-17,0.05989933371307741
485,CF4,1e-08,"(0.1,0.15)",host#b9ec88ad,-1.304512053934559e-16,0.2504350448138013
605,CF4,1e-08,"(0.1,0.15)",host#e0324c47,-1.6930901125533636e-16,0.2332371086022485
725,CF4,1e-08,"(0.1,0.15)",host#e739d7ed,1.3877787807814457e-17,0.11455819818984485
845,CF4,1e-08,"(0.1,0.15)",host#ea9ebc36,1.27675647831893e-16,0.10165890207420682
965,CF4,1e-08,"(0.1,0.15)",host#fe823726,7.702172233337023e-17,0.12952809882081026
45,CF4,1e-08,"(0.1,0.2)",host#053336e2,-1.0130785099704553e-16,0.04699304537339042
165,CF4,1e-08,"(0.1,0.2)",host#2a9a8c7d,6.765421556309548e-17,0.031628059727232996
285,CF4,1e-08,"(0.1,0.2)",host#2ea82f5c,-7.147060721024446e-17,0.03277466878749988
405,CF4,1e-08,"(0.1,0.2)",host#b1a00ec8,8.248610128269717e-17,0.028780819690873417
525,CF4,1e-08,"(0.1,0.2)",host#b9ec88ad,9.80118763926896e-18,0.161995911424796
645,CF4,1e-08,"(0.1,0.2)",host#e0324c47,-7.0082828429463e-17,0.08103485758285484
765,CF4,1e-08,"(0.1,0.2)",host#e739d7ed,6.938893903907228e-18,0.15140343534371564
885,CF4,1e-08,"(0.1,0.2)",host#ea9ebc36,1.2091022627558346e-16,0.04706563099425682
1005,CF4,1e-08,"(0.1,0.2)",host#fe823726,3.608224830031759e-17,0.07359631750003018
85,CF4,1e-08,"(0.1,0.3)",host#053336e2,-1.3461454173580022e-16,0.03791782074719941
205,CF4,1e-08,"(0.1,0.3)",host#2a9a8c7d,6.869504964868156e-17,0.07132044296001253
325,CF4,1e-08,"(0.1,0.3)",host#2ea82f5c,-2.3592239273284576e-17,0.02029104252807143
