,method,step,range,host,mean,std
934,CF43,1e-09,"(0.1,0.3)",host#ea9ebc36,-1.2073675392798576e-16,0.010858712531395356
1054,CF43,1e-09,"(0.1,0.3)",host#fe823726,1.6028844918025699e-16,0.03079221197388754
13,CF43,1e-08,"(0.1,0.15)",host#053336e2,-4.5796699765787705e-17,0.07738938077784066
133,CF43,1e-08,"(0.1,0.15)",host#2a9a8c7d,-6.696032617270476e-17,0.02928482030488184
253,CF43,1e-08,"(0.1,0.15)",host#2ea82f5c,6.036837696399288e-17,0.10123445536222005
373,CF43,1e-08,"(0.1,0.15)",host#b1a00ec8,-1.124100812432971e-16,0.05495278658206106
493,CF43,1e-08,"(0.1,0.15)",host#b9ec88ad,-7.494005416219807e-17,0.19718630885070967
613,CF43,1e-08,"(0.1,0.15)",host#e0324c47,1.7486012637846215e-16,0.145536051548804
733,CF43,1e-08,"(0.1,0.15)",host#e739d7ed,-1.9290125052862095e-16,0.10503834848867359
853,CF43,1e-08,"(0.1,0.15)",host#ea9ebc36,3.053113317719181e-17,0.08669376452317158
973,CF43,1e-08,"(0.1,0.15)",host#fe823726,1.0547118733938987e-16,0.099236265407193
53,CF43,1e-08,"(0.1,0.2)",host#053336e2,4.5102810375396984e-17,0.0295725897065645
173,CF43,1e-08,"(0.1,0.2)",host#2a9a8c7d,3.469446951953614e-17,0.04314121661048653
293,CF43,1e-08,"(0.1,0.2)",host#2ea82f5c,8.018759267702791e-17,0.037669302436512765
413,CF43,1e-08,"(0.1,0.2)",host#b1a00ec8,3.400058012914542e-17,0.03184773579804464
533,CF43,1e-08,"(0.1,0.2)",host#b9ec88ad,-8.881784197001253e-17,0.13080505028909126
653,CF43,1e-08,"(0.1,0.2)",host#e0324c47,-1.2212453270876723e-16,0.117109356736477
773,CF43,1e-08,"(0.1,0.2)",host#e739d7ed,-1.412064909445121e-16,0.08937745178785284
893,CF43,1e-08,"(0.1,0.2)",host#ea9ebc36,-1.752070710736575e-17,0.04526960648802259
1013,CF43,1e-08,"(0.1,0.2)",host#fe823726,4.5796699765787705e-17,0.1195143958116571
93,CF43,1e-08,"(0.1,0.3)",host#053336e2,2.3592239273284576e-17,0.03336771703456857
213,CF43,1e-08,"(0.1,0.3)",host#2a9a8c7d,3.400058012914542e-17,0.02247615486440937
333,CF43,1e-08,"(0.1,0.3)",host#2ea82f5c,2.040034807748725e-16,0.023563951725871536
453,CF43,1e-08,"(0.1,0.3)",host#b1a00ec8,1.1102230246251566e-17,0.059033899012763326
573,CF43,1e-08,"(0.1,0.3)",host#b9ec88ad,-4.85722573273506e-17,0.07528238084119664
693,CF43,1e-08,"(0.1,0.3)",host#e0324c47,1.1102230246251565e-16,0.084574955170363
813,CF43,1e-08,"(0.1,0.3)",host#e739d7ed,3.3653635433950055e-17,0.07411874491186315
933,CF43,1e-08,"(0.1,0.3)",host#ea9ebc36,5.1000870193718126e-17,0.025804819401401287
1053,CF43,1e-08,"(0.1,0.3)",host#fe823726,-2.0816681711721684e-18,0.08662264696953045
12,CF43,1e-07,"(0.1,0.15)",host#053336e2,3.053113317719181e-17,0.09683002876338936
132,CF43,1e-07,"(0.1,0.15)",host#2a9a8c7d,-6.453171330633723e-17,0.13996720604037471
252,CF43,1e-07,"(0.1,0.15)",host#2ea82f5c,3.2612801348363975e-17,0.20460029529737175
372,CF43,1e-07,"(0.1,0.15)",host#b1a00ec8,7.771561172376095e-17,0.1721879940511653
492,CF43,1e-07,"(0.1,0.15)",host#b9ec88ad,-7.494005416219807e-17,0.30288156622587564
612,CF43,1e-07,"(0.1,0.15)",host#e0324c47,1.9151347174783951e-16,0.21888463216405157
732,CF43,1e-07,"(0.1,0.15)",host#e739d7ed,1.5768636396629177e-16,0.13190729635465484
852,CF43,1e-07,"(0.1,0.15)",host#ea9ebc36,-1.4641066137244253e-16,0.1724568779317209
972,CF43,1e-07,"(0.1,0.15)",host#fe823726,2.914335439641036e-17,0.3170144281155066
52,CF43,1e-07,"(0.1,0.2)",host#053336e2,2.0816681711721684e-18,0.08947896839503688
172,CF43,1e-07,"(0.1,0.2)",host#2a9a8c7d,-1.5959455978986624e-17,0.06441717505507123
292,CF43,1e-07,"(0.1,0.2)",host#2ea82f5c,3.469446951953614e-17,0.15965016377870458
412,CF43,1e-07,"(0.1,0.2)",host#b1a00ec8,3.608224830031759e-17,0.12055146385044435
532,CF43,1e-07,"(0.1,0.2)",host#b9ec88ad,-7.771561172376095e-17,0.2366602539588045
652,CF43,1e-07,"(0.1,0.2)",host#e0324c47,-5.551115123125783e-18,0.1717758207279196
772,CF43,1e-07,"(0.1,0.2)",host#e739d7ed,-6.661338147750939e-17,0.21555448971835234
892,CF43,1e-07,"(0.1,0.2)",host#ea9ebc36,7.216449660063518e-17,0.10514646902971134
1012,CF43,1e-07,"(0.1,0.2)",host#fe823726,-9.43689570931383e-17,0.22118745826399058
92,CF43,1e-07,"(0.1,0.3)",host#053336e2,1.4155343563970745e-16,0.09400526467302077
212,CF43,1e-07,"(0.1,0.3)",host#2a9a8c7d,1.7555401576885288e-16,0.03906549445233689
332,CF43,1e-07,"(0.1,0.3)",host#2ea82f5c,-3.95516952522712e-17,0.060495974670744475
452,CF43,1e-07,"(0.1,0.3)",host#b1a00ec8,5.4817261840867107e-17,0.06532781562226292
572,CF43,1e-07,"(0.1,0.3)",host#b9ec88ad,7.28583859910259e-17,0.14747645889290642
692,CF43,1e-07,"(0.1,0.3)",host#e0324c47,-5.551115123125783e-18,0.18597384705415854
812,CF43,1e-07,"(0.1,0.3)",host#e739d7ed,-2.9282132274488506e-16,0.2271281140755493
932,CF43,1e-07,"(0.1,0.3)",host#ea9ebc36,2.1094237467877973e-16,0.09054552035891292
1052,CF43,1e-07,"(0.1,0.3)",host#fe823726,8.465450562766818e-17,0.20663547608734908
11,CF43,1e-06,"(0.1,0.15)",host#053336e2,4.4408920985006264e-17,0.18146918059953868
131,CF43,1e-06,"(0.1,0.15)",host#2a9a8c7d,1.2522535092207576e-16,0.18240188746941635
251,CF43,1e-06,"(0.1,0.15)",host#2ea82f5c,5.967448757360216e-17,0.17901685039014936
371,CF43,1e-06,"(0.1,0.15)",host#b1a00ec8,-1.6653345369377347e-17,0.16737481546719615
491,CF43,1e-06,"(0.1,0.15)",host#b9ec88ad,-1.6653345369377348e-16,0.2998402715849561
611,CF43,1e-06,"(0.1,0.15)",host#e0324c47,-9.575673587391976e-17,0.31020041515158786
731,CF43,1e-06,"(0.1,0.15)",host#e739d7ed,8.326672684688674e-18,0.29844524235876535
851,CF43,1e-06,"(0.1,0.15)",host#ea9ebc36,-1.1102230246251566e-17,0.24277091036780596
971,CF43,1e-06,"(0.1,0.15)",host#fe823726,5.551115123125783e-18,0.34483352623508357
51,CF43,1e-06,"(0.1,0.2)",host#053336e2,1.9428902930940238e-17,0.0620650092253693
171,CF43,1e-06,"(0.1,0.2)",host#2a9a8c7d,-9.376180387654642e-17,0.2193734171530685
291,CF43,1e-06,"(0.1,0.2)",host#2ea82f5c,-2.1094237467877973e-16,0.2921368766051715
411,CF43,1e-06,"(0.1,0.2)",host#b1a00ec8,3.191891195797325e-17,0.1915726377336291
531,CF43,1e-06,"(0.1,0.2)",host#b9ec88ad,-3.3306690738754695e-17,0.3390773722223748
651,CF43,1e-06,"(0.1,0.2)",host#e0324c47,-9.905271047827569e-17,0.2163674882413283
771,CF43,1e-06,"(0.1,0.2)",host#e739d7ed,7.771561172376095e-17,0.31500333673887465
891,CF43,1e-06,"(0.1,0.2)",host#ea9ebc36,-4.4408920985006264e-17,0.22127098511663076
1011,CF43,1e-06,"(0.1,0.2)",host#fe823726,8.881784197001253e-17,0.3532393764816904
91,CF43,1e-06,"(0.1,0.3)",host#053336e2,1.8457457784393228e-16,0.11184092116939774
211,CF43,1e-06,"(0.1,0.3)",host#2a9a8c7d,1.1726730697603215e-16,0.14343150525696424
331,CF43,1e-06,"(0.1,0.3)",host#2ea82f5c,-6.38378239159465e-17,0.21822811540248074
451,CF43,1e-06,"(0.1,0.3)",host#b1a00ec8,-4.718447854656915e-17,0.144520112561524
571,CF43,1e-06,"(0.1,0.3)",host#b9ec88ad,7.771561172376095e-17,0.30528786541088065
691,CF43,1e-06,"(0.1,0.3)",host#e0324c47,-1.7763568394002506e-16,0.31243696589513653
811,CF43,1e-06,"(0.1,0.3)",host#e739d7ed,-1.7763568394002506e-16,0.3069688469936046
931,CF43,1e-06,"(0.1,0.3)",host#ea9ebc36,-4.163336342344337e-17,0.16254968000763906
1051,CF43,1e-06,"(0.1,0.3)",host#fe823726,-1.6653345369377347e-17,0.08526799129998312
10,CF43,1e-05,"(0.1,0.15)",host#053336e2,6.106226635438361e-17,0.21584139256334461
130,CF43,1e-05,"(0.1,0.15)",host#2a9a8c7d,-1.2351231148954867e-16,0.26591942220462966
250,CF43,1e-05,"(0.1,0.15)",host#2ea82f5c,1.554312234475219e-16,0.20377788255666468
370,CF43,1e-05,"(0.1,0.15)",host#b1a00ec8,-5.551115123125783e-18,0.1467023872277837
490,CF43,1e-05,"(0.1,0.15)",host#b9ec88ad,1.9428902930940238e-17,0.32544502053925217
610,CF43,1e-05,"(0.1,0.15)",host#e0324c47,5.551115123125783e-18,0.18643202481678398
730,CF43,1e-05,"(0.1,0.15)",host#e739d7ed,-1.3877787807814457e-16,0.34379153365130105
850,CF43,1e-05,"(0.1,0.15)",host#ea9ebc36,-1.1657341758564144e-16,0.27069462507680536
970,CF43,1e-05,"(0.1,0.15)",host#fe823726,1.3739009929736313e-16,0.21914595062426143
50,CF43,1e-05,"(0.1,0.2)",host#053336e2,-2.55351295663786e-16,0.1417862850535923
170,CF43,1e-05,"(0.1,0.2)",host#2a9a8c7d,-6.938893903907228e-18,0.26333992875999224
290,CF43,1e-05,"(0.1,0.2)",host#2ea82f5c,-1.0269562977782698e-16,0.31783837933331677
410,CF43,1e-05,"(0.1,0.2)",host#b1a00ec8,-2.2204460492503132e-17,0.1507800262648675
530,CF43,1e-05,"(0.1,0.2)",host#b9ec88ad,4.163336342344337e-17,0.2788711094043654
650,CF43,1e-05,"(0.1,0.2)",host#e0324c47,-9.992007221626409e-17,0.30420696268275726
770,CF43,1e-05,"(0.1,0.2)",host#e739d7ed,-1.6653345369377347e-17,0.3365130373666937
890,CF43,1e-05,"(0.1,0.2)",host#ea9ebc36,3.053113317719181e-17,0.267141126009553
1010,CF43,1e-05,"(0.1,0.2)",host#fe823726,1.0547118733938987e-16,0.31959503191086064
90,CF43,1e-05,"(0.1,0.3)",host#053336e2,-5.2735593669694933e-17,0.18396118013939647
210,CF43,1e-05,"(0.1,0.3)",host#2a9a8c7d,6.522560269672795e-17,0.15675623288686885
330,CF43,1e-05,"(0.1,0.3)",host#2ea82f5c,-1.0824674490095276e-16,0.28364130900708917
450,CF43,1e-05,"(0.1,0.3)",host#b1a00ec8,4.891920202254596e-17,0.04077453125267794
570,CF43,1e-05,"(0.1,0.3)",host#b9ec88ad,1.4432899320127036e-16,0.32251703613850513
690,CF43,1e-05,"(0.1,0.3)",host#e0324c47,-1.1657341758564144e-16,0.3385927400517256
810,CF43,1e-05,"(0.1,0.3)",host#e739d7ed,-1.4224732503009818e-16,0.3201684790993355
930,CF43,1e-05,"(0.1,0.3)",host#ea9ebc36,-8.326672684688674e-18,0.23755604499217325
1050,CF43,1e-05,"(0.1,0.3)",host#fe823726,-3.3306690738754695e-17,0.33600734019715817
8,CF43,0.0001,"(0.1,0.15)",host#053336e2,-2.8449465006019634e-17,0.1425963782489047
128,CF43,0.0001,"(0.1,0.15)",host#2a9a8c7d,6.661338147750939e-17,1.0619158572149552
248,CF43,0.0001,"(0.1,0.15)",host#2ea82f5c,-5.62917767954474e-17,0.008246581366326727
368,CF43,0.0001,"(0.1,0.15)",host#b1a00ec8,1.3877787807814457e-16,0.14249222363350864
488,CF43,0.0001,"(0.1,0.15)",host#b9ec88ad,-8.777700788442644e-17,0.005268030745754151
608,CF43,0.0001,"(0.1,0.15)",host#e0324c47,-8.638922910364499e-17,0.019160835283918046
728,CF43,0.0001,"(0.1,0.15)",host#e739d7ed,1.4432899320127036e-16,0.19441689189870695
848,CF43,0.0001,"(0.1,0.15)",host#ea9ebc36,-2.3245294578089216e-17,0.006533138120396671
968,CF43,0.0001,"(0.1,0.15)",host#fe823726,-1.32012456521835e-16,0.004869866371862033
48,CF43,0.0001,"(0.1,0.2)",host#053336e2,-1.0408340855860843e-17,0.13636656975268874
168,CF43,0.0001,"(0.1,0.2)",host#2a9a8c7d,-1.7208456881689927e-16,0.6997437575789195
288,CF43,0.0001,"(0.1,0.2)",host#2ea82f5c,8.049116928532385e-17,0.7066861537676791
408,CF43,0.0001,"(0.1,0.2)",host#b1a00ec8,1.0408340855860843e-16,0.023762176746818235
528,CF43,0.0001,"(0.1,0.2)",host#b9ec88ad,2.1371793224034264e-16,0.6904760659505691
648,CF43,0.0001,"(0.1,0.2)",host#e0324c47,-7.077671781985372e-17,0.11789026320556108
768,CF43,0.0001,"(0.1,0.2)",host#e739d7ed,4.445228907190568e-17,0.003188287710822551
888,CF43,0.0001,"(0.1,0.2)",host#ea9ebc36,1.5390249838431735e-16,0.0026879095451365297
1008,CF43,0.0001,"(0.1,0.2)",host#fe823726,6.704706234650359e-17,0.0023722106839734122
88,CF43,0.0001,"(0.1,0.3)",host#053336e2,-1.8318679906315082e-16,0.167368445491549
208,CF43,0.0001,"(0.1,0.3)",host#2a9a8c7d,3.053113317719181e-17,0.45624124304154623
328,CF43,0.0001,"(0.1,0.3)",host#2ea82f5c,8.049116928532385e-17,0.00412475245736853
448,CF43,0.0001,"(0.1,0.3)",host#b1a00ec8,1.0269562977782698e-16,0.09097064345694124
568,CF43,0.0001,"(0.1,0.3)",host#b9ec88ad,-1.7069679003611783e-16,0.10098167602743935
688,CF43,0.0001,"(0.1,0.3)",host#e0324c47,-2.067790383364354e-16,0.15301459032048614
808,CF43,0.0001,"(0.1,0.3)",host#e739d7ed,7.632783294297951e-17,0.4208098483722621
928,CF43,0.0001,"(0.1,0.3)",host#ea9ebc36,1.3877787807814457e-17,0.10488402682008428
1048,CF43,0.0001,"(0.1,0.3)",host#fe823726,-1.1102230246251566e-17,0.4267504070442468
9,CF43,0.001,"(0.1,0.15)",host#053336e2,-6.245004513516506e-17,0.02998475571697156
129,CF43,0.001,"(0.1,0.15)",host#2a9a8c7d,1.7970108907860994e-16,0.019377339753162727
249,CF43,0.001,"(0.1,0.15)",host#2ea82f5c,8.222589276130065e-17,0.01410893221371567
369,CF43,0.001,"(0.1,0.15)",host#b1a00ec8,6.800116025829084e-17,0.16060094258864926
489,CF43,0.001,"(0.1,0.15)",host#b9ec88ad,1.886945460993772e-16,0.01012856756289473
609,CF43,0.001,"(0.1,0.15)",host#e0324c47,1.3851766955674804e-16,0.013307149358694979
729,CF43,0.001,"(0.1,0.15)",host#e739d7ed,1.27675647831893e-16,0.023739018665534906
849,CF43,0.001,"(0.1,0.15)",host#ea9ebc36,-1.214306433183765e-17,0.01253584103410501
969,CF43,0.001,"(0.1,0.15)",host#fe823726,4.336808689942018e-19,0.007311177226398466
49,CF43,0.001,"(0.1,0.2)",host#053336e2,-1.0269562977782698e-16,0.03698006871152659
169,CF43,0.001,"(0.1,0.2)",host#2a9a8c7d,4.310787837802366e-17,0.006997927674238794
289,CF43,0.001,"(0.1,0.2)",host#2ea82f5c,1.663599813461758e-16,0.01896521136905635
409,CF43,0.001,"(0.1,0.2)",host#b1a00ec8,2.914335439641036e-17,0.16804354695020005
529,CF43,0.001,"(0.1,0.2)",host#b9ec88ad,1.1397133237167623e-16,0.015103237516531797
649,CF43,0.001,"(0.1,0.2)",host#e0324c47,-9.8879238130678e-17,0.01868882379915193
769,CF43,0.001,"(0.1,0.2)",host#e739d7ed,-3.833738881908744e-17,0.010147416447654866
889,CF43,0.001,"(0.1,0.2)",host#ea9ebc36,-4.0072112295064246e-17,0.009968125216657296
1009,CF43,0.001,"(0.1,0.2)",host#fe823726,5.0653925498522766e-17,0.008210916657089062
89,CF43,0.001,"(0.1,0.3)",host#053336e2,0.0,0.012816184585065279
209,CF43,0.001,"(0.1,0.3)",host#2a9a8c7d,7.771561172376095e-17,0.02864819503092273
329,CF43,0.001,"(0.1,0.3)",host#2ea82f5c,-8.135853102331225e-17,0.011923408413281105
449,CF43,0.001,"(0.1,0.3)",host#b1a00ec8,-8.118505867571457e-17,0.12898987131999642
569,CF43,0.001,"(0.1,0.3)",host#b9ec88ad,1.7171594007825419e-16,0.007517797836109062
689,CF43,0.001,"(0.1,0.3)",host#e0324c47,-7.797582024515748e-17,0.019852083033836225
809,CF43,0.001,"(0.1,0.3)",host#e739d7ed,-1.1908876662580782e-16,0.005092782784929191
929,CF43,0.001,"(0.1,0.3)",host#ea9ebc36,-1.113258790708116e-16,0.012420070726209367
1049,CF43,0.001,"(0.1,0.3)",host#fe823726,6.565928356572215e-17,0.009209489012819075
23,M2,1e-10,"(0.1,0.15)",host#053336e2,-5.447031714567174e-17,0.021240707048798244
143,M2,1e-10,"(0.1,0.15)",host#2a9a8c7d,0.0,0.014058671378481137
263,M2,1e-10,"(0.1,0.15)",host#2ea82f5c,3.0661237437890067e-17,0.007754173293744143
383,M2,1e-10,"(0.1,0.15)",host#b1a00ec8,-8.396061623727746e-17,0.017591952779169577
503,M2,1e-10,"(0.1,0.15)",host#b9ec88ad,3.278627369596165e-17,0.056484793302478
623,M2,1e-10,"(0.1,0.15)",host#e0324c47,-1.2935616119924552e-16,0.020545115522134366
743,M2,1e-10,"(0.1,0.15)",host#e739d7ed,4.85722573273506e-17,0.029025218057367453
863,M2,1e-10,"(0.1,0.15)",host#ea9ebc36,-1.4623718902484483e-16,0.013216194992756742
983,M2,1e-10,"(0.1,0.15)",host#fe823726,3.2959746043559335e-17,0.02652716479059658
63,M2,1e-10,"(0.1,0.2)",host#053336e2,-1.1058862159352145e-16,0.0038919445468316508
183,M2,1e-10,"(0.1,0.2)",host#2a9a8c7d,1.0408340855860843e-17,0.02556077245959868
303,M2,1e-10,"(0.1,0.2)",host#2ea82f5c,-7.806255641895632e-19,0.012328911786433874
423,M2,1e-10,"(0.1,0.2)",host#b1a00ec8,1.691355389077387e-16,0.015736612698606173
543,M2,1e-10,"(0.1,0.2)",host#b9ec88ad,1.5126788710517758e-16,0.028078541862784547
663,M2,1e-10,"(0.1,0.2)",host#e0324c47,7.91033905045424e-17,0.029921569327095637
783,M2,1e-10,"(0.1,0.2)",host#e739d7ed,1.5785983631388944e-17,0.025356299217218478
903,M2,1e-10,"(0.1,0.2)",host#ea9ebc36,-1.1368943980682999e-16,0.008675434568943992
1023,M2,1e-10,"(0.1,0.2)",host#fe823726,-4.85722573273506e-17,0.0190772942183624
103,M2,1e-10,"(0.1,0.3)",host#053336e2,-8.81239525796218e-17,0.004540940300181133
223,M2,1e-10,"(0.1,0.3)",host#2a9a8c7d,-9.853229343548264e-17,0.014199409147663997
343,M2,1e-10,"(0.1,0.3)",host#2ea82f5c,1.6839828143044855e-16,0.022245523779535113
463,M2,1e-10,"(0.1,0.3)",host#b1a00ec8,1.7062089588404384e-16,0.006325923890437939
583,M2,1e-10,"(0.1,0.3)",host#b9ec88ad,-8.118505867571457e-17,0.016985040960921072
703,M2,1e-10,"(0.1,0.3)",host#e0324c47,1.700029006457271e-17,0.04439303619448021
823,M2,1e-10,"(0.1,0.3)",host#e739d7ed,8.049116928532385e-17,0.023527258112998273
943,M2,1e-10,"(0.1,0.3)",host#ea9ebc36,-1.5265566588595904e-17,0.03772663443394046
1063,M2,1e-10,"(0.1,0.3)",host#fe823726,9.6710833785707e-17,0.014640438668347048
22,M2,1e-09,"(0.1,0.15)",host#053336e2,-1.9255430583342559e-16,0.027239874277139357
142,M2,1e-09,"(0.1,0.15)",host#2a9a8c7d,-1.222980050563649e-16,0.02487208082039268
262,M2,1e-09,"(0.1,0.15)",host#2ea82f5c,5.551115123125783e-17,0.04815204047913585
382,M2,1e-09,"(0.1,0.15)",host#b1a00ec8,1.7208456881689927e-16,0.02820754034806328
502,M2,1e-09,"(0.1,0.15)",host#b9ec88ad,-1.4826464708739273e-17,0.14833902139514163
622,M2,1e-09,"(0.1,0.15)",host#e0324c47,1.9428902930940238e-17,0.03301624564025016
742,M2,1e-09,"(0.1,0.15)",host#e739d7ed,9.71445146547012e-17,0.1477133859757434
862,M2,1e-09,"(0.1,0.15)",host#ea9ebc36,-3.920475055707584e-17,0.039786130198128836
982,M2,1e-09,"(0.1,0.15)",host#fe823726,-3.538835890992686e-17,0.1234345721902946
62,M2,1e-09,"(0.1,0.2)",host#053336e2,-5.603156827405086e-17,0.021725440506515644
182,M2,1e-09,"(0.1,0.2)",host#2a9a8c7d,-5.447031714567174e-17,0.020485302525726865
302,M2,1e-09,"(0.1,0.2)",host#2ea82f5c,7.476658181460039e-17,0.028509222453433784
422,M2,1e-09,"(0.1,0.2)",host#b1a00ec8,1.7433970933566911e-16,0.023003097677222178
542,M2,1e-09,"(0.1,0.2)",host#b9ec88ad,2.0816681711721685e-17,0.09134872287262451
662,M2,1e-09,"(0.1,0.2)",host#e0324c47,-7.355227538141662e-17,0.04885173399011672
782,M2,1e-09,"(0.1,0.2)",host#e739d7ed,1.134509153288832e-16,0.06067981092205156
902,M2,1e-09,"(0.1,0.2)",host#ea9ebc36,6.088879400678593e-17,0.02205190673691901
1022,M2,1e-09,"(0.1,0.2)",host#fe823726,9.645062526431048e-17,0.052059896454278956
102,M2,1e-09,"(0.1,0.3)",host#053336e2,-2.355754480376504e-16,0.015419307223982189
222,M2,1e-09,"(0.1,0.3)",host#2a9a8c7d,4.122136659789888e-17,0.01974559918901987
342,M2,1e-09,"(0.1,0.3)",host#2ea82f5c,-1.1483869410966463e-16,0.021895317772406254
462,M2,1e-09,"(0.1,0.3)",host#b1a00ec8,8.014422459012849e-17,0.01816057922904688
582,M2,1e-09,"(0.1,0.3)",host#b9ec88ad,-6.210310043996969e-17,0.044577523718391764
702,M2,1e-09,"(0.1,0.3)",host#e0324c47,-5.863365348801607e-17,0.057810542941111286
822,M2,1e-09,"(0.1,0.3)",host#e739d7ed,-2.4173371637736806e-16,0.053656533609099784
942,M2,1e-09,"(0.1,0.3)",host#ea9ebc36,-2.0088097851811426e-16,0.010318481743990348
1062,M2,1e-09,"(0.1,0.3)",host#fe823726,-1.3877787807814457e-16,0.05717157197984643
21,M2,1e-08,"(0.1,0.15)",host#053336e2,-1.3877787807814457e-16,0.10472005482552087
141,M2,1e-08,"(0.1,0.15)",host#2a9a8c7d,-8.656270145124267e-17,0.05956199399405863
261,M2,1e-08,"(0.1,0.15)",host#2ea82f5c,2.0816681711721685e-17,0.11822205189078487
381,M2,1e-08,"(0.1,0.15)",host#b1a00ec8,1.457167719820518e-17,0.08008016918605629
501,M2,1e-08,"(0.1,0.15)",host#b9ec88ad,-2.42861286636753e-17,0.10907506372071223
621,M2,1e-08,"(0.1,0.15)",host#e0324c47,1.0824674490095276e-16,0.2902226511108727
741,M2,1e-08,"(0.1,0.15)",host#e739d7ed,4.9960036108132046e-17,0.2052069526836037
861,M2,1e-08,"(0.1,0.15)",host#ea9ebc36,8.326672684688674e-17,0.08308304886186278
981,M2,1e-08,"(0.1,0.15)",host#fe823726,4.4408920985006264e-17,0.2539299141350901
61,M2,1e-08,"(0.1,0.2)",host#053336e2,4.718447854656915e-17,0.07605015207487231
181,M2,1e-08,"(0.1,0.2)",host#2a9a8c7d,-6.748074321549779e-17,0.031138030159251838
301,M2,1e-08,"(0.1,0.2)",host#2ea82f5c,-7.684824998577255e-17,0.0922434114456036
421,M2,1e-08,"(0.1,0.2)",host#b1a00ec8,4.4408920985006264e-17,0.11589143261159972
541,M2,1e-08,"(0.1,0.2)",host#b9ec88ad,-1.1293049828609013e-16,0.1249439259900962
661,M2,1e-08,"(0.1,0.2)",host#e0324c47,-1.1102230246251566e-17,0.21416526956219897
781,M2,1e-08,"(0.1,0.2)",host#e739d7ed,7.0082828429463e-17,0.08271560553180857
901,M2,1e-08,"(0.1,0.2)",host#ea9ebc36,1.6653345369377347e-17,0.08068115985630603
1021,M2,1e-08,"(0.1,0.2)",host#fe823726,1.4988010832439614e-16,0.2023040352365061
101,M2,1e-08,"(0.1,0.3)",host#053336e2,-1.457167719820518e-17,0.06587577103880689
221,M2,1e-08,"(0.1,0.3)",host#2a9a8c7d,-3.400058012914542e-17,0.03465633244963934
341,M2,1e-08,"(0.1,0.3)",host#2ea82f5c,1.0269562977782698e-16,0.10012902834323739
461,M2,1e-08,"(0.1,0.3)",host#b1a00ec8,3.382710778154774e-17,0.03511715172563498
581,M2,1e-08,"(0.1,0.3)",host#b9ec88ad,2.7755575615628915e-18,0.11462815691553527
701,M2,1e-08,"(0.1,0.3)",host#e0324c47,-1.4155343563970745e-16,0.13126623013384742
821,M2,1e-08,"(0.1,0.3)",host#e739d7ed,-1.6653345369377347e-17,0.13750787018542948
941,M2,1e-08,"(0.1,0.3)",host#ea9ebc36,5.4643789493269423e-17,0.048769136097144235
1061,M2,1e-08,"(0.1,0.3)",host#fe823726,5.412337245047638e-17,0.10397420422786546
20,M2,1e-07,"(0.1,0.15)",host#053336e2,2.1926904736346843e-16,0.18235404929384702
140,M2,1e-07,"(0.1,0.15)",host#2a9a8c7d,-2.7755575615628914e-17,0.1902206651987256
260,M2,1e-07,"(0.1,0.15)",host#2ea82f5c,-6.661338147750939e-17,0.25027159357321244
380,M2,1e-07,"(0.1,0.15)",host#b1a00ec8,-1.6514567491299204e-16,0.1499845508434751
500,M2,1e-07,"(0.1,0.15)",host#b9ec88ad,2.4980018054066023e-17,0.25125490474863493
620,M2,1e-07,"(0.1,0.15)",host#e0324c47,-3.8857805861880476e-17,0.32018125651807305
740,M2,1e-07,"(0.1,0.15)",host#e739d7ed,-9.853229343548264e-17,0.20807872001678338
860,M2,1e-07,"(0.1,0.15)",host#ea9ebc36,4.302114220422482e-17,0.24054660029618197
980,M2,1e-07,"(0.1,0.15)",host#fe823726,-1.609823385706477e-16,0.2685567499885411
60,M2,1e-07,"(0.1,0.2)",host#053336e2,-1.1874182193061245e-16,0.11037516007587006
180,M2,1e-07,"(0.1,0.2)",host#2a9a8c7d,-5.412337245047638e-17,0.07521875842438122
300,M2,1e-07,"(0.1,0.2)",host#2ea82f5c,-1.4988010832439614e-16,0.19162308228828068
420,M2,1e-07,"(0.1,0.2)",host#b1a00ec8,4.4408920985006264e-17,0.17963872546287246
540,M2,1e-07,"(0.1,0.2)",host#b9ec88ad,1.1102230246251565e-16,0.26832459192959834
660,M2,1e-07,"(0.1,0.2)",host#e0324c47,1.1657341758564144e-16,0.2415300503871557
780,M2,1e-07,"(0.1,0.2)",host#e739d7ed,4.9960036108132046e-17,0.26668293877674865
900,M2,1e-07,"(0.1,0.2)",host#ea9ebc36,-3.3306690738754695e-17,0.207978174022196
1020,M2,1e-07,"(0.1,0.2)",host#fe823726,-2.7755575615628915e-18,0.2746825647081111
100,M2,1e-07,"(0.1,0.3)",host#053336e2,-1.582067810090848e-16,0.10688971802555809
220,M2,1e-07,"(0.1,0.3)",host#2a9a8c7d,1.0061396160665481e-17,0.08854761374231242
340,M2,1e-07,"(0.1,0.3)",host#2ea82f5c,-2.7755575615628915e-18,0.16727535855490158
460,M2,1e-07,"(0.1,0.3)",host#b1a00ec8,-1.3739009929736313e-16,0.11536862055457839
580,M2,1e-07,"(0.1,0.3)",host#b9ec88ad,3.8857805861880476e-17,0.256245594872492
700,M2,1e-07,"(0.1,0.3)",host#e0324c47,5.828670879282072e-17,0.30516666260282777
820,M2,1e-07,"(0.1,0.3)",host#e739d7ed,5.828670879282072e-17,0.2035353198093317
940,M2,1e-07,"(0.1,0.3)",host#ea9ebc36,4.4408920985006264e-17,0.10976530431839589
